"filename", "language", "Python", "HTML", "TypeScript", "Properties", "Shell Script", "Makefile", "XML", "comment", "blank", "total"
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\Makefile", "Makefile", 0, 0, 0, 0, 0, 146, 0, 57, 42, 245
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\README.html", "HTML", 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 31, 3, 37
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\contour_detection.py", "Python", 136, 0, 0, 0, 0, 0, 0, 110, 41, 287
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\contour_detection_dialog.py", "Python", 9, 0, 0, 0, 0, 0, 0, 30, 6, 45
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\contour_detection_dialog_base.ui.xml", "XML", 0, 0, 0, 0, 0, 0, 222, 0, 1, 223
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\i18n\af.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\pb_tool.cfg", "Properties", 0, 0, 0, 14, 0, 0, 0, 53, 14, 81
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\plugin_upload.py", "Python", 77, 0, 0, 0, 0, 0, 0, 22, 13, 112
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\resources.py", "Python", 113, 0, 0, 0, 0, 0, 0, 6, 11, 130
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\scripts\compile-strings.sh", "Shell Script", 0, 0, 0, 0, 7, 0, 0, 3, 3, 13
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\scripts\run-env-linux.sh", "Shell Script", 0, 0, 0, 0, 20, 0, 0, 1, 8, 29
"c:\Users\AUG\Documents\qgis-plugins\contour_detection\scripts\update-strings.sh", "Shell Script", 0, 0, 0, 0, 41, 0, 0, 10, 6, 57
"Total", "-", 338, 40, 11, 14, 68, 146, 222, 323, 152, 1314
