"filename", "language", "HTML", "Python", "Makefile", "TypeScript", "Properties", "Shell Script", "XML", "comment", "blank", "total"
"c:\Users\AUG\Documents\qgis-plugins\histogram\Makefile", "Makefile", 0, 0, 146, 0, 0, 0, 0, 57, 42, 245
"c:\Users\AUG\Documents\qgis-plugins\histogram\README.html", "HTML", 40, 0, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\AUG\Documents\qgis-plugins\histogram\__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 31, 3, 37
"c:\Users\AUG\Documents\qgis-plugins\histogram\histogram.py", "Python", 0, 134, 0, 0, 0, 0, 0, 109, 40, 283
"c:\Users\AUG\Documents\qgis-plugins\histogram\histogram_dialog.py", "Python", 0, 9, 0, 0, 0, 0, 0, 30, 6, 45
"c:\Users\AUG\Documents\qgis-plugins\histogram\histogram_dialog_base.ui.xml", "XML", 0, 0, 0, 0, 0, 0, 184, 0, 1, 185
"c:\Users\AUG\Documents\qgis-plugins\histogram\i18n\af.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\AUG\Documents\qgis-plugins\histogram\pb_tool.cfg", "Properties", 0, 0, 0, 0, 14, 0, 0, 53, 14, 81
"c:\Users\AUG\Documents\qgis-plugins\histogram\plugin_upload.py", "Python", 0, 77, 0, 0, 0, 0, 0, 22, 13, 112
"c:\Users\AUG\Documents\qgis-plugins\histogram\resources.py", "Python", 0, 112, 0, 0, 0, 0, 0, 6, 11, 129
"c:\Users\AUG\Documents\qgis-plugins\histogram\scripts\compile-strings.sh", "Shell Script", 0, 0, 0, 0, 0, 7, 0, 3, 3, 13
"c:\Users\AUG\Documents\qgis-plugins\histogram\scripts\run-env-linux.sh", "Shell Script", 0, 0, 0, 0, 0, 20, 0, 1, 8, 29
"c:\Users\AUG\Documents\qgis-plugins\histogram\scripts\update-strings.sh", "Shell Script", 0, 0, 0, 0, 0, 41, 0, 10, 6, 57
"Total", "-", 40, 335, 146, 11, 14, 68, 184, 322, 151, 1271
