"filename", "language", "Python", "Makefile", "XML", "TypeScript", "Properties", "HTML", "Shell Script", "comment", "blank", "total"
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\Makefile", "Makefile", 0, 146, 0, 0, 0, 0, 0, 57, 42, 245
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\README.html", "HTML", 0, 0, 0, 0, 0, 40, 0, 0, 3, 43
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 31, 3, 37
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\i18n\af.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\lee_sigma_filter.py", "Python", 144, 0, 0, 0, 0, 0, 0, 77, 44, 265
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\lee_sigma_filter_dialog.py", "Python", 9, 0, 0, 0, 0, 0, 0, 30, 6, 45
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\lee_sigma_filter_dialog_base.ui.xml", "XML", 0, 0, 201, 0, 0, 0, 0, 0, 1, 202
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\pb_tool.cfg", "Properties", 0, 0, 0, 0, 14, 0, 0, 53, 14, 81
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\plugin_upload.py", "Python", 77, 0, 0, 0, 0, 0, 0, 22, 13, 112
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\resources.py", "Python", 112, 0, 0, 0, 0, 0, 0, 6, 11, 129
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\scripts\compile-strings.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 7, 3, 3, 13
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\scripts\run-env-linux.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 20, 1, 8, 29
"c:\Users\AUG\Documents\qgis-plugins\lee_sigma_filter\scripts\update-strings.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 41, 10, 6, 57
"Total", "-", 345, 146, 201, 11, 14, 40, 68, 290, 155, 1270
