"filename", "language", "Python", "HTML", "Makefile", "Shell Script", "Properties", "TypeScript", "XML", "comment", "blank", "total"
"c:\Users\AUG\Documents\qgis-plugins\segmentation\Makefile", "Makefile", 0, 0, 146, 0, 0, 0, 0, 57, 42, 245
"c:\Users\AUG\Documents\qgis-plugins\segmentation\README.html", "HTML", 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\AUG\Documents\qgis-plugins\segmentation\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 31, 3, 37
"c:\Users\AUG\Documents\qgis-plugins\segmentation\i18n\af.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\AUG\Documents\qgis-plugins\segmentation\pb_tool.cfg", "Properties", 0, 0, 0, 0, 14, 0, 0, 53, 14, 81
"c:\Users\AUG\Documents\qgis-plugins\segmentation\plugin_upload.py", "Python", 77, 0, 0, 0, 0, 0, 0, 22, 13, 112
"c:\Users\AUG\Documents\qgis-plugins\segmentation\resources.py", "Python", 112, 0, 0, 0, 0, 0, 0, 6, 11, 129
"c:\Users\AUG\Documents\qgis-plugins\segmentation\scripts\compile-strings.sh", "Shell Script", 0, 0, 0, 7, 0, 0, 0, 3, 3, 13
"c:\Users\AUG\Documents\qgis-plugins\segmentation\scripts\run-env-linux.sh", "Shell Script", 0, 0, 0, 20, 0, 0, 0, 1, 8, 29
"c:\Users\AUG\Documents\qgis-plugins\segmentation\scripts\update-strings.sh", "Shell Script", 0, 0, 0, 41, 0, 0, 0, 10, 6, 57
"c:\Users\AUG\Documents\qgis-plugins\segmentation\segmentation.py", "Python", 137, 0, 0, 0, 0, 0, 0, 109, 40, 286
"c:\Users\AUG\Documents\qgis-plugins\segmentation\segmentation_dialog.py", "Python", 9, 0, 0, 0, 0, 0, 0, 30, 6, 45
"c:\Users\AUG\Documents\qgis-plugins\segmentation\segmentation_dialog_base.ui.xml", "XML", 0, 0, 0, 0, 0, 0, 266, 0, 1, 267
"Total", "-", 338, 40, 146, 68, 14, 11, 266, 322, 151, 1356
