"filename", "language", "Python", "Shell Script", "HTML", "Properties", "Makefile", "TypeScript", "XML", "comment", "blank", "total"
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\Makefile", "Makefile", 0, 0, 0, 0, 146, 0, 0, 57, 42, 245
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\README.html", "HTML", 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 31, 3, 37
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\i18n\af.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\pb_tool.cfg", "Properties", 0, 0, 0, 14, 0, 0, 0, 53, 14, 81
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\plugin_upload.py", "Python", 77, 0, 0, 0, 0, 0, 0, 22, 13, 112
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\resources.py", "Python", 112, 0, 0, 0, 0, 0, 0, 6, 11, 129
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\scripts\compile-strings.sh", "Shell Script", 0, 7, 0, 0, 0, 0, 0, 3, 3, 13
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\scripts\run-env-linux.sh", "Shell Script", 0, 20, 0, 0, 0, 0, 0, 1, 8, 29
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\scripts\update-strings.sh", "Shell Script", 0, 41, 0, 0, 0, 0, 0, 10, 6, 57
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\speckle_filter.py", "Python", 141, 0, 0, 0, 0, 0, 0, 110, 41, 292
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\speckle_filter_dialog.py", "Python", 9, 0, 0, 0, 0, 0, 0, 30, 6, 45
"c:\Users\AUG\Documents\qgis-plugins\speckle_filter\speckle_filter_dialog_base.ui.xml", "XML", 0, 0, 0, 0, 0, 0, 244, 0, 1, 245
"Total", "-", 342, 68, 40, 14, 146, 11, 244, 323, 152, 1340
