"filename", "language", "Makefile", "Python", "Shell Script", "TypeScript", "HTML", "Properties", "XML", "comment", "blank", "total"
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\Makefile", "Makefile", 146, 0, 0, 0, 0, 0, 0, 57, 42, 245
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\README.html", "HTML", 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 31, 3, 37
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\i18n\af.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\pb_tool.cfg", "Properties", 0, 0, 0, 0, 0, 14, 0, 53, 14, 81
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\plugin_upload.py", "Python", 0, 77, 0, 0, 0, 0, 0, 22, 13, 112
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\resources.py", "Python", 0, 112, 0, 0, 0, 0, 0, 6, 11, 129
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\scripts\compile-strings.sh", "Shell Script", 0, 0, 7, 0, 0, 0, 0, 3, 3, 13
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\scripts\run-env-linux.sh", "Shell Script", 0, 0, 20, 0, 0, 0, 0, 1, 8, 29
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\scripts\update-strings.sh", "Shell Script", 0, 0, 41, 0, 0, 0, 0, 10, 6, 57
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\tamura_filter.py", "Python", 0, 133, 0, 0, 0, 0, 0, 85, 39, 257
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\tamura_filter_dialog.py", "Python", 0, 9, 0, 0, 0, 0, 0, 30, 6, 45
"c:\Users\AUG\Documents\qgis-plugins\tamura_filter\tamura_filter_dialog_base.ui.xml", "XML", 0, 0, 0, 0, 0, 0, 186, 0, 1, 187
"Total", "-", 146, 334, 68, 11, 40, 14, 186, 298, 150, 1247
